Name,City,State,Category,Population
"Renton, Washington",Renton, Washington,city,101379
"Chehalis, Washington",Chehalis, Washington,city,7533
"Mercer Island, Washington",Mercer Island, Washington,city,25261
"Lynnwood, Washington",Lynnwood, Washington,city,38273
"Centralia, Washington",Centralia, Washington,city,41643
"Mountlake Terrace, Washington",Mountlake Terrace, Washington,city,21337
"Seattle, Washington",Seattle, Washington,city,3643765
"Liberty Lake, Washington",Liberty Lake, Washington,city,9893
"Airway Heights, Washington",Airway Heights, Washington,city,8166
"Brier, Washington",Brier, Washington,city,6884
"Port Townsend, Washington",Port Townsend, Washington,city,8804
"Oak Harbor, Washington",Oak Harbor, Washington,city,34663
"Anacortes, Washington",Anacortes, Washington,city,17955
"Grandview, Washington",Grandview, Washington,city,18858
"Quincy, Washington",Quincy, Washington,city,7756
"Kelso, Washington",Kelso, Washington,city,12130
"Cheney, Washington",Cheney, Washington,city,12421
"Lacey, Washington",Lacey, Washington,city,49748
"Sultan, Washington",Sultan, Washington,city,8803
"Edmonds, Washington",Edmonds, Washington,city,42209
"Lake Forest Park, Washington",Lake Forest Park, Washington,city,13392
"Yakima, Washington",Yakima, Washington,city,133233
"Pacific, Washington",Pacific, Washington,city,7184
"Lynden, Washington",Lynden, Washington,city,17340
"Federal Way, Washington",Federal Way, Washington,city,96690
"Mill Creek, Washington",Mill Creek, Washington,city,20832
"Lakewood, Washington",Lakewood, Washington,city,60296
"Port Angeles, Washington",Port Angeles, Washington,city,23865
"Longview, Washington",Longview, Washington,city,65619
"Wapato, Washington",Wapato, Washington,city,7686
"Arlington, Washington",Arlington, Washington,city,19212
"Sammamish, Washington",Sammamish, Washington,city,64548
"Covington, Washington",Covington, Washington,city,20916
"Wenatchee, Washington",Wenatchee, Washington,city,71512
"Mattawa, Washington",Mattawa, Washington,city,5122
"Selah, Washington",Selah, Washington,city,7859
"Omak, Washington",Omak, Washington,city,8130
"Sedro-Woolley, Washington",Sedro-Woolley, Washington,city,11838
"Sunnyside, Washington",Sunnyside, Washington,city,17927
"Normandy Park, Washington",Normandy Park, Washington,city,6649
"SeaTac, Washington",SeaTac, Washington,city,29140
"Steilacoom, Washington",Steilacoom, Washington,city,6337
"Ridgefield, Washington",Ridgefield, Washington,city,7117
"Kennewick, Washington",Kennewick, Washington,city,232915
"Pullman, Washington",Pullman, Washington,city,33276
"West Richland, Washington",West Richland, Washington,city,14596
"Colville, Washington",Colville, Washington,city,5064
"Prosser, Washington",Prosser, Washington,city,6264
"Maple Valley, Washington",Maple Valley, Washington,city,25758
"Auburn, Washington",Auburn, Washington,city,80776
"Connell, Washington",Connell, Washington,city,5360
"Bainbridge Island, Washington",Bainbridge Island, Washington,city,24522
"Edgewood, Washington",Edgewood, Washington,city,11213
"Burlington, Washington",Burlington, Washington,city,8783
"Othello, Washington",Othello, Washington,city,12375
"University Place, Washington",University Place, Washington,city,33401
"Poulsbo, Washington",Poulsbo, Washington,city,10670
"Hoquiam, Washington",Hoquiam, Washington,city,8500
"Ephrata, Washington",Ephrata, Washington,city,7275
"Kent, Washington",Kent, Washington,city,128458
"Mukilteo, Washington",Mukilteo, Washington,city,21469
"Kirkland, Washington",Kirkland, Washington,city,88630
"Redmond, Washington",Redmond, Washington,city,64291
"Tukwila, Washington",Tukwila, Washington,city,20144
"Yelm, Washington",Yelm, Washington,city,16504
"Olympia, Washington",Olympia, Washington,city,196078
"Fife, Washington",Fife, Washington,city,10154
"Port Orchard, Washington",Port Orchard, Washington,city,13997
"Bremerton, Washington",Bremerton, Washington,city,216480
"Lake Stevens, Washington",Lake Stevens, Washington,city,32785
"Montesano, Washington",Montesano, Washington,city,8494
"Tacoma, Washington",Tacoma, Washington,city,213418
"Woodinville, Washington",Woodinville, Washington,city,11997
"Ocean Shores, Washington",Ocean Shores, Washington,city,5553
"Sequim, Washington",Sequim, Washington,city,20750
"Moses Lake, Washington",Moses Lake, Washington,city,37774
"Puyallup, Washington",Puyallup, Washington,city,41001
"Sumner, Washington",Sumner, Washington,city,10093
"Walla Walla, Washington",Walla Walla, Washington,city,57779
"Bothell, Washington",Bothell, Washington,city,45533
"Tumwater, Washington",Tumwater, Washington,city,22973
"Duvall, Washington",Duvall, Washington,city,7813
"Monroe, Washington",Monroe, Washington,city,18789
"Clarkston, Washington",Clarkston, Washington,city,7396
"Gig Harbor, Washington",Gig Harbor, Washington,city,9507
"Des Moines, Washington",Des Moines, Washington,city,31238
"Snohomish, Washington",Snohomish, Washington,city,10089
"Richland, Washington",Richland, Washington,city,56243
"Woodland, Washington",Woodland, Washington,city,6531
"Washougal, Washington",Washougal, Washington,city,15711
"Bonney Lake, Washington",Bonney Lake, Washington,city,20675
"Spokane Valley, Washington",Spokane Valley, Washington,city,97847
"Bellevue, Washington",Bellevue, Washington,city,144444
"Marysville, Washington",Marysville, Washington,city,166541
"Newcastle, Washington",Newcastle, Washington,city,11681
"North Bend, Washington",North Bend, Washington,city,6821
"Snoqualmie, Washington",Snoqualmie, Washington,city,26054
"Enumclaw, Washington",Enumclaw, Washington,city,11784
"Shelton, Washington",Shelton, Washington,city,19296
"Bellingham, Washington",Bellingham, Washington,city,126015
"Kenmore, Washington",Kenmore, Washington,city,22867
"Ellensburg, Washington",Ellensburg, Washington,city,23471
"DuPont, Washington",DuPont, Washington,city,9487
"Granite Falls, Washington",Granite Falls, Washington,city,6565
"Milton, Washington",Milton, Washington,city,8230
"Stanwood, Washington",Stanwood, Washington,city,7161
"East Wenatchee, Washington",East Wenatchee, Washington,city,13983
"Spokane, Washington",Spokane, Washington,city,403043
"Chelan, Washington",Chelan, Washington,city,6078
"Camas, Washington",Camas, Washington,city,23331
"Blaine, Washington",Blaine, Washington,city,5311
"Union Gap, Washington",Union Gap, Washington,city,6161
"Pasco, Washington",Pasco, Washington,city,73013
"Issaquah, Washington",Issaquah, Washington,city,37487
"Toppenish, Washington",Toppenish, Washington,city,14441
"Orting, Washington",Orting, Washington,city,7983
"Fircrest, Washington",Fircrest, Washington,city,6794
"Vancouver, Washington",Vancouver, Washington,city,175673
"Battle Ground, Washington",Battle Ground, Washington,city,20576
"College Place, Washington",College Place, Washington,city,9258
"Mount Vernon, Washington",Mount Vernon, Washington,city,69528
"Ferndale, Washington",Ferndale, Washington,city,14026
"Aberdeen, Washington",Aberdeen, Washington,city,29089
"Shoreline, Washington",Shoreline, Washington,city,56189
"Everett, Washington",Everett, Washington,city,110079
"Burien, Washington",Burien, Washington,city,51671
"Manassas Park, Virginia",Manassas Park, Virginia,city,16591
"Fairfax, Virginia",Fairfax, Virginia,city,24097
